-3,573,0.485288,0.65346
-2.9,573,0.46029,0.630409
-2.8,573,0.435479,0.606737
-2.7,573,0.410845,0.58241
-2.6,573,0.386375,0.557389
-2.5,573,0.362053,0.531628
-2.4,573,0.337863,0.505078
-2.3,573,0.313789,0.477685
-2.2,573,0.289819,0.449395
-2.1,573,0.265946,0.420154
-2,573,0.242168,0.389912
-1.9,573,0.218494,0.35863
-1.8,573,0.194945,0.326282
-1.7,573,0.171553,0.292865
-1.6,573,0.148371,0.258403
-1.5,573,0.125466,0.222959
-1.4,573,0.102925,0.18664
-1.3,573,0.080853,0.149609
-1.2,573,0.059373,0.112091
-1.1,573,0.038624,0.074375
-1,573,0.018756,0.036821
-0.9,573,-0.000075,-0.000149
-0.8,573,-0.017711,-0.03606
-0.7,573,-0.034002,-0.070398
-0.6,573,-0.048814,-0.102638
-0.5,573,-0.062033,-0.132271
-0.4,573,-0.073576,-0.158838
-0.3,573,-0.083392,-0.181957
-0.2,573,-0.091469,-0.201356
-0.1,573,-0.097835,-0.21689
0,573,-0.102554,-0.228547
0.1,573,-0.105724,-0.236447
0.2,573,-0.107472,-0.240826
0.3,573,-0.107945,-0.242015
0.4,573,-0.107306,-0.240409
0.5,573,-0.10572,-0.236437
0.6,573,-0.103355,-0.230536
0.7,573,-0.100366,-0.223127
0.8,573,-0.096899,-0.214592
0.9,573,-0.093082,-0.205271
1,573,-0.089024,-0.195448
1.1,573,-0.084817,-0.185356
1.2,573,-0.080534,-0.175176
1.3,573,-0.076231,-0.165043
1.4,573,-0.07195,-0.155056
1.5,573,-0.067721,-0.145281
1.6,573,-0.063567,-0.135764
1.7,573,-0.059501,-0.126531
1.8,573,-0.055535,-0.1176
1.9,573,-0.051674,-0.10898
2,573,-0.047927,-0.100679
,,,
-3,583,0.52043,0.684583
-2.9,583,0.494456,0.66172
-2.8,583,0.46862,0.638177
-2.7,583,0.442917,0.613919
-2.6,583,0.417341,0.588907
-2.5,583,0.391881,0.563096
-2.4,583,0.366525,0.536434
-2.3,583,0.341262,0.508867
-2.2,583,0.316084,0.48034
-2.1,583,0.290986,0.450796
-2,583,0.26597,0.420184
-1.9,583,0.241048,0.388459
-1.8,583,0.216243,0.355591
-1.7,583,0.19159,0.321571
-1.6,583,0.167144,0.286415
-1.5,583,0.142974,0.250178
-1.4,583,0.119169,0.21296
-1.3,583,0.095838,0.174913
-1.2,583,0.073107,0.136253
-1.1,583,0.051118,0.097265
-1,583,0.030026,0.058301
-0.9,583,0.009991,0.019784
-0.8,583,-0.008824,-0.017804
-0.7,583,-0.026261,-0.053938
-0.6,583,-0.042178,-0.08807
-0.5,583,-0.056453,-0.11966
-0.4,583,-0.068991,-0.148208
-0.3,583,-0.079733,-0.173283
-0.2,583,-0.088654,-0.194557
-0.1,583,-0.095769,-0.211823
0,583,-0.101128,-0.22501
0.1,583,-0.104817,-0.234181
0.2,583,-0.106952,-0.239521
0.3,583,-0.107669,-0.241321
0.4,583,-0.107122,-0.239948
0.5,583,-0.105473,-0.235818
0.6,583,-0.102885,-0.229369
0.7,583,-0.09952,-0.221037
0.8,583,-0.095528,-0.211235
0.9,583,-0.091052,-0.200345
1,583,-0.086217,-0.188704
1.1,583,-0.081137,-0.176604
1.2,583,-0.07591,-0.164292
1.3,583,-0.07062,-0.151973
1.4,583,-0.065339,-0.139812
1.5,583,-0.060125,-0.127943
1.6,583,-0.055028,-0.116466
1.7,583,-0.050089,-0.10546
1.8,583,-0.045339,-0.094984
1.9,583,-0.040802,-0.085075
2,583,-0.036498,-0.075762
,,,
-3,593,0.556198,0.714817
-2.9,593,0.529259,0.692177
-2.8,593,0.50239,0.668788
-2.7,593,0.475595,0.644615
-2.6,593,0.448871,0.619615
-2.5,593,0.422216,0.593743
-2.4,593,0.395621,0.566946
-2.3,593,0.369083,0.539168
-2.2,593,0.342597,0.51035
-2.1,593,0.316165,0.480433
-2,593,0.289792,0.449363
-1.9,593,0.263496,0.417091
-1.8,593,0.237305,0.383584
-1.7,593,0.211261,0.348828
-1.6,593,0.185422,0.312837
-1.5,593,0.159866,0.275663
-1.4,593,0.134688,0.237402
-1.3,593,0.110006,0.198209
-1.2,593,0.085955,0.158303
-1.1,593,0.062686,0.117977
-1,593,0.040366,0.0776
-0.9,593,0.019168,0.037614
-0.8,593,-0.000733,-0.001467
-0.7,593,-0.019166,-0.039081
-0.6,593,-0.035974,-0.074634
-0.5,593,-0.051023,-0.107532
-0.4,593,-0.064203,-0.137216
-0.3,593,-0.075444,-0.163201
-0.2,593,-0.084712,-0.185104
-0.1,593,-0.092013,-0.202674
0,593,-0.097395,-0.215809
0.1,593,-0.100945,-0.224559
0.2,593,-0.102783,-0.229114
0.3,593,-0.103055,-0.22979
0.4,593,-0.101929,-0.226996
0.5,593,-0.099587,-0.221204
0.6,593,-0.096217,-0.212919
0.7,593,-0.092004,-0.202652
0.8,593,-0.087129,-0.19089
0.9,593,-0.081763,-0.178087
1,593,-0.076062,-0.164646
1.1,593,-0.070164,-0.150917
1.2,593,-0.064193,-0.137192
1.3,593,-0.058252,-0.123711
1.4,593,-0.052429,-0.11066
1.5,593,-0.046794,-0.098183
1.6,593,-0.041402,-0.08638
1.7,593,-0.036293,-0.07532
1.8,593,-0.031498,-0.065044
1.9,593,-0.027033,-0.055568
2,593,-0.022908,-0.046891
,,,
-3,603,0.592004,0.743722
-2.9,603,0.564103,0.721311
-2.8,603,0.536186,0.698074
-2.7,603,0.508265,0.673973
-2.6,603,0.480346,0.648964
-2.5,603,0.452432,0.623
-2.4,603,0.424527,0.596025
-2.3,603,0.396632,0.567984
-2.2,603,0.368754,0.538817
-2.1,603,0.3409,0.508464
-2,603,0.313089,0.476874
-1.9,603,0.285346,0.443999
-1.8,603,0.257711,0.40981
-1.7,603,0.230239,0.3743
-1.6,603,0.203,0.33749
-1.5,603,0.176086,0.299444
-1.4,603,0.149608,0.260276
-1.3,603,0.123697,0.220161
-1.2,603,0.098506,0.179345
-1.1,603,0.074201,0.138152
-1,603,0.050966,0.096988
-0.9,603,0.028986,0.056339
-0.8,603,0.008452,0.016762
-0.7,603,-0.010457,-0.021135
-0.6,603,-0.027576,-0.056716
-0.5,603,-0.042767,-0.089355
-0.4,603,-0.055924,-0.118472
-0.3,603,-0.06698,-0.143577
-0.2,603,-0.075914,-0.164301
-0.1,603,-0.082749,-0.180429
0,603,-0.087555,-0.191912
0.1,603,-0.090441,-0.198868
0.2,603,-0.091556,-0.201567
0.3,603,-0.091076,-0.200404
0.4,603,-0.089199,-0.195869
0.5,603,-0.086134,-0.188505
0.6,603,-0.082096,-0.178876
0.7,603,-0.077293,-0.167535
0.8,603,-0.071925,-0.154998
0.9,603,-0.066176,-0.141732
1,603,-0.060211,-0.128138
1.1,603,-0.054174,-0.114553
1.2,603,-0.048185,-0.10125
