-3,573,0.338857
-2.9,573,0.304603
-2.8,573,0.269493
-2.7,573,0.233305
-2.6,573,0.195769
-2.5,573,0.15655
-2.4,573,0.115233
-2.3,573,0.071302
-2.2,573,0.024102
-2.1,573,-0.027214
-2,573,-0.083762
-1.9,573,-0.147071
-1.8,573,-0.2193
-1.7,573,-0.303662
-1.6,573,-0.405218
-1.5,573,-0.532583
-1.4,573,-0.702058
-1.3,573,-0.949864
-1.2,573,-1.383501
-1.1,573,-2.763135
-1,573,-1.522159
-0.9,573,-0.536981
-0.8,573,0.201757
-0.7,573,1.072342
-0.6,573,5.878987
-0.5,573,1.394096
-0.4,573,0.867863
-0.3,573,0.586263
-0.2,573,0.398563
-0.1,573,0.259749
0,573,0.150877
0.1,573,0.062452
0.2,573,-0.010846
0.3,573,-0.072266
0.4,573,-0.123953
0.5,573,-0.16743
0.6,573,-0.203867
0.7,573,-0.234233
0.8,573,-0.259373
0.9,573,-0.280064
1,573,-0.297032
1.1,573,-0.310968
1.2,573,-0.322526
1.3,573,-0.33232
1.4,573,-0.340914
1.5,573,-0.348815
1.6,573,-0.356468
1.7,573,-0.364249
1.8,573,-0.372465
1.9,573,-0.381356
2,573,-0.391103
,,
-3,583,0.382101
-2.9,583,0.347238
-2.8,583,0.311545
-2.7,583,0.274826
-2.6,583,0.23684
-2.5,583,0.19729
-2.4,583,0.155807
-2.3,583,0.111936
-2.2,583,0.0651
-2.1,583,0.014567
-2,583,-0.040622
-1.9,583,-0.101751
-1.8,583,-0.170603
-1.7,583,-0.249762
-1.6,583,-0.343167
-1.5,583,-0.457246
-1.4,583,-0.603457
-1.3,583,-0.804985
-1.2,583,-1.119476
-1.1,583,-1.767668
-1,583,-2.679939
-0.9,583,-0.991832
-0.8,583,-0.189075
-0.7,583,0.564773
-0.6,583,1.73194
-0.5,583,2.004234
-0.4,583,1.082501
-0.3,583,0.706334
-0.2,583,0.47719
-0.1,583,0.315188
0,583,0.191202
0.1,583,0.091706
0.2,583,0.009459
0.3,583,-0.059822
0.4,583,-0.118894
0.5,583,-0.169666
0.6,583,-0.213561
0.7,583,-0.251706
0.8,583,-0.285043
0.9,583,-0.314384
1,583,-0.340451
1.1,583,-0.363893
1.2,583,-0.385293
1.3,583,-0.405183
1.4,583,-0.424041
1.5,583,-0.442304
1.6,583,-0.460373
1.7,583,-0.478626
1.8,583,-0.497425
1.9,583,-0.517136
2,583,-0.538146
,,
-3,593,0.425362
-2.9,593,0.389792
-2.8,593,0.353377
-2.7,593,0.31594
-2.6,593,0.277264
-2.5,593,0.237079
-2.4,593,0.195051
