Variables = LogStrainRate, Temperature, Xi
Zone I = 51 J = 21 F = POINT	
-2.7	623	-0.077708
-2.6	623	-0.109784
-2.5	623	-0.136903
-2.4	623	-0.15866
-2.3	623	-0.174855
-2.2	623	-0.185542
-2.1	623	-0.191048
-2	623	-0.191965
-1.9	623	-0.189111
-1.8	623	-0.183455
-1.7	623	-0.17602
-1.6	623	-0.167786
-1.5	623	-0.159598
-1.4	623	-0.152102
-1.3	623	-0.145714
-1.2	623	-0.140614
-1.1	623	-0.136779
-1	623	-0.134019
-0.9	623	-0.132037
-0.8	623	-0.130482
-0.7	623	-0.128998
-0.6	623	-0.127266
-0.5	623	-0.125037
-0.4	623	-0.122154
-0.3	623	-0.118557
-0.2	623	-0.114288
-0.1	623	-0.109476
0	623	-0.10432
0.1	623	-0.099063
0.2	623	-0.09397
0.3	623	-0.089299
0.4	623	-0.085285
0.5	623	-0.082117
0.6	623	-0.079936
0.7	623	-0.07883
0.8	623	-0.078832
0.9	623	-0.079933
1	623	-0.082086
1.1	623	-0.085219
1.2	623	-0.089241
1.3	623	-0.094055
1.4	623	-0.09956
1.5	623	-0.105663
1.6	623	-0.112275
1.7	623	-0.119324
1.8	623	-0.126749
1.9	623	-0.134504
2	623	-0.142561
		
-3	633	0.090957
-2.9	633	0.047319
-2.8	633	0.006574
-2.7	633	-0.03063
-2.6	633	-0.063673
-2.5	633	-0.092011
-2.4	633	-0.115216
-2.3	633	-0.133026
-2.2	633	-0.145379
-2.1	633	-0.152437
-2	633	-0.154585
-1.9	633	-0.15241
-1.8	633	-0.14665
-1.7	633	-0.138134
-1.6	633	-0.127712
-1.5	633	-0.116189
-1.4	633	-0.104271
-1.3	633	-0.092537
-1.2	633	-0.081423
-1.1	633	-0.071233
-1	633	-0.062154
-0.9	633	-0.054288
-0.8	633	-0.047671
-0.7	633	-0.042301
-0.6	633	-0.038151
-0.5	633	-0.035183
-0.4	633	-0.033353
-0.3	633	-0.032612
-0.2	633	-0.032908
-0.1	633	-0.034182
0	633	-0.036371
0.1	633	-0.039408
0.2	633	-0.043217
0.3	633	-0.047721
0.4	633	-0.052839
0.5	633	-0.058492
0.6	633	-0.0646
0.7	633	-0.071089
0.8	633	-0.077891
0.9	633	-0.084942
1	633	-0.092188
1.1	633	-0.099583
1.2	633	-0.107089
1.3	633	-0.114679
1.4	633	-0.122333
1.5	633	-0.130041
1.6	633	-0.137806
1.7	633	-0.145635
1.8	633	-0.153552
1.9	633	-0.161587
2	633	-0.169786
		
-3	643	0.136874
-2.9	643	0.093548
-2.8	643	0.053243
-2.7	643	0.016641
-2.6	643	-0.015602
-2.5	643	-0.042904
-2.4	643	-0.064805
-2.3	643	-0.081016
-2.2	643	-0.091466
-2.1	643	-0.09633
-2	643	-0.096041
-1.9	643	-0.091267
-1.8	643	-0.082867
-1.7	643	-0.071822
-1.6	643	-0.059156
-1.5	643	-0.045854
-1.4	643	-0.032792
-1.3	643	-0.020689
-1.2	643	-0.010083
-1.1	643	-0.001328
-1	643	0.005388
-0.9	643	0.010015
-0.8	643	0.012611
-0.7	643	0.013309
-0.6	643	0.012286
-0.5	643	0.009745
-0.4	643	0.005892
-0.3	643	0.000932
-0.2	643	-0.004945
-0.1	643	-0.011567
0	643	-0.018779
0.1	643	-0.026446
0.2	643	-0.034453
0.3	643	-0.042702
0.4	643	-0.051109
0.5	643	-0.059607
0.6	643	-0.068144
0.7	643	-0.076676
0.8	643	-0.085171
0.9	643	-0.09361
1	643	-0.101979
1.1	643	-0.110275
1.2	643	-0.118503
1.3	643	-0.126675
1.4	643	-0.134812
1.5	643	-0.142945
1.6	643	-0.151113
1.7	643	-0.159368
1.8	643	-0.167772
1.9	643	-0.176404
2	643	-0.185359
		
-3	653	0.185287
-2.9	653	0.143945
-2.8	653	0.106005
-2.7	653	0.072147
-2.6	653	0.042987
-2.5	653	0.019027
-2.4	653	0.000595
-2.3	653	-0.012203
-2.2	653	-0.019518
-2.1	653	-0.021773
-2	653	-0.019642
-1.9	653	-0.014
-1.8	653	-0.005852
-1.7	653	0.003757
-1.6	653	0.013835
-1.5	653	0.023512
-1.4	653	0.032092
-1.3	653	0.039077
-1.2	653	0.044166
-1.1	653	0.047227
-1	653	0.048269
-0.9	653	0.047401
-0.8	653	0.044799
-0.7	653	0.040674
-0.6	653	0.035251
-0.5	653	0.02875
-0.4	653	0.021377
-0.3	653	0.013321
-0.2	653	0.004743
-0.1	653	-0.004214
0	653	-0.013432
0.1	653	-0.022813
0.2	653	-0.032276
0.3	653	-0.041758
0.4	653	-0.051211
0.5	653	-0.060597
0.6	653	-0.069892
0.7	653	-0.079082
0.8	653	-0.088161
0.9	653	-0.097133
1	653	-0.10601
1.1	653	-0.114813
1.2	653	-0.123572
1.3	653	-0.132326
1.4	653	-0.141127
1.5	653	-0.150037
1.6	653	-0.159133
1.7	653	-0.168512
1.8	653	-0.178291
1.9	653	-0.188613
2	653	-0.199657
		
-3	663	0.242277
-2.9	663	0.204457
-2.8	663	0.170221
-2.7	663	0.140114
-2.6	663	0.114566
-2.5	663	0.093855
-2.4	663	0.078063
-2.3	663	0.067051
-2.2	663	0.060453
-2.1	663	0.057697
-2	663	0.058049
-1.9	663	0.060673
-1.8	663	0.064707
-1.7	663	0.069327
-1.6	663	0.073812
-1.5	663	0.077581
-1.4	663	0.080206
-1.3	663	0.081419
-1.2	663	0.081088
-1.1	663	0.079197
-1	663	0.075811
-0.9	663	0.071055
-0.8	663	0.065088
-0.7	663	0.058081
-0.6	663	0.050209
-0.5	663	0.041637
-0.4	663	0.032516
-0.3	663	0.02298
-0.2	663	0.013148
-0.1	663	0.003117
0	663	-0.007029
0.1	663	-0.017224
0.2	663	-0.027416
0.3	663	-0.037565
0.4	663	-0.047643
0.5	663	-0.057635
0.6	663	-0.067534
0.7	663	-0.077345
0.8	663	-0.087082
0.9	663	-0.096768
1	663	-0.10644
1.1	663	-0.116142
1.2	663	-0.125937
1.3	663	-0.135899
1.4	663	-0.146122
1.5	663	-0.156722
1.6	663	-0.167843
1.7	663	-0.179663
1.8	663	-0.192403
1.9	663	-0.206343
2	663	-0.221837
		
-3	673	0.309171
-2.9	673	0.274657
-2.8	673	0.243389
-2.7	673	0.21574
-2.6	673	0.19197
-2.5	673	0.172196
-2.4	673	0.156373
-2.3	673	0.144286
-2.2	673	0.135563
-2.1	673	0.129695
-2	673	0.126084
-1.9	673	0.124086
-1.8	673	0.12306
-1.7	673	0.12242
-1.6	673	0.121661
-1.5	673	0.120383
-1.4	673	0.1183
-1.3	673	0.115228
-1.2	673	0.111082
-1.1	673	0.105849
-1	673	0.099575
-0.9	673	0.092345
-0.8	673	0.084268
-0.7	673	0.075463
-0.6	673	0.066052
-0.5	673	0.056153
-0.4	673	0.045875
-0.3	673	0.035314
-0.2	673	0.024555
-0.1	673	0.01367
0	673	0.002716
0.1	673	-0.008261
0.2	673	-0.019228
0.3	673	-0.030164
0.4	673	-0.041059
0.5	673	-0.051915
0.6	673	-0.062748
0.7	673	-0.073582
0.8	673	-0.084459
0.9	673	-0.095433
1	673	-0.106574
1.1	673	-0.117975
1.2	673	-0.129748
1.3	673	-0.142038
1.4	673	-0.155022
1.5	673	-0.168924
1.6	673	-0.184025
1.7	673	-0.200682
1.8	673	-0.219355
1.9	673	-0.240647
2	673	-0.265356
		
-3	683	0.380486
-2.9	683	0.347674
-2.8	683	0.317529
-2.7	683	0.29035
-2.6	683	0.26634
-2.5	683	0.245585
-2.4	683	0.228043
-2.3	683	0.213541
-2.2	683	0.201783
-2.1	683	0.192375
-2	683	0.184856
-1.9	683	0.178731
-1.8	683	0.17351
-1.7	683	0.168738
-1.6	683	0.164024
-1.5	683	0.159049
-1.4	683	0.153577
-1.3	683	0.147451
-1.2	683	0.140585
-1.1	683	0.132949
-1	683	0.124562
-0.9	683	0.115473
-0.8	683	0.105754
-0.7	683	0.095486
-0.6	683	0.084757
-0.5	683	0.073651
-0.4	683	0.06225
-0.3	683	0.050622
-0.2	683	0.038831
-0.1	683	0.026925
0	683	0.014943
0.1	683	0.00291
0.2	683	-0.009161
0.3	683	-0.02127
0.4	683	-0.033433
0.5	683	-0.045679
0.6	683	-0.058055
0.7	683	-0.070623
0.8	683	-0.083472
0.9	683	-0.09671
1	683	-0.11048
1.1	683	-0.124958
1.2	683	-0.14037
1.3	683	-0.156997
1.4	683	-0.175202
1.5	683	-0.195448
1.6	683	-0.218343
1.7	683	-0.244691
1.8	683	-0.275591
1.9	683	-0.312574
2	683	-0.357862
		
-3	693	0.44957
-2.9	693	0.417183
-2.8	693	0.386994
-2.7	693	0.359289
-2.6	693	0.33427
-2.5	693	0.312032
-2.4	693	0.292563
