-3.000000 573.000000 0.098433 0.179224 
-2.900000 573.000000 0.099193 0.180483 
-2.800000 573.000000 0.099328 0.180707 
-2.700000 573.000000 0.098770 0.179784 
-2.600000 573.000000 0.097497 0.177672 
-2.500000 573.000000 0.095531 0.174401 
-2.400000 573.000000 0.092938 0.170070 
-2.300000 573.000000 0.089820 0.164834 
-2.200000 573.000000 0.086301 0.158889 
-2.100000 573.000000 0.082512 0.152446 
-2.000000 573.000000 0.078583 0.145716 
-1.900000 573.000000 0.074627 0.138890 
-1.800000 573.000000 0.070739 0.132132 
-1.700000 573.000000 0.066990 0.125568 
-1.600000 573.000000 0.063430 0.119293 
-1.500000 573.000000 0.060089 0.113365 
-1.400000 573.000000 0.056980 0.107817 
-1.300000 573.000000 0.054105 0.102657 
-1.200000 573.000000 0.051457 0.097878 
-1.100000 573.000000 0.049023 0.093464 
-1.000000 573.000000 0.046784 0.089387 
-0.900000 573.000000 0.044724 0.085620 
-0.800000 573.000000 0.042824 0.082131 
-0.700000 573.000000 0.041066 0.078893 
-0.600000 573.000000 0.039434 0.075876 
-0.500000 573.000000 0.037912 0.073055 
-0.400000 573.000000 0.036488 0.070406 
-0.300000 573.000000 0.035149 0.067910 
-0.200000 573.000000 0.033885 0.065549 
-0.100000 573.000000 0.032688 0.063307 
0.000000 573.000000 0.031550 0.061171 
0.100000 573.000000 0.030465 0.059129 
0.200000 573.000000 0.029427 0.057172 
0.300000 573.000000 0.028432 0.055293 
0.400000 573.000000 0.027476 0.053483 
0.500000 573.000000 0.026556 0.051738 
0.600000 573.000000 0.025668 0.050052 
0.700000 573.000000 0.024811 0.048421 
0.800000 573.000000 0.023983 0.046843 
0.900000 573.000000 0.023182 0.045313 
1.000000 573.000000 0.022406 0.043830 
1.100000 573.000000 0.021655 0.042391 
1.200000 573.000000 0.020927 0.040995 
1.300000 573.000000 0.020221 0.039640 
1.400000 573.000000 0.019537 0.038325 
1.500000 573.000000 0.018873 0.037047 
1.600000 573.000000 0.018230 0.035807 
1.700000 573.000000 0.017606 0.034604 
1.800000 573.000000 0.017002 0.033435 
1.900000 573.000000 0.016416 0.032301 
2.000000 573.000000 0.015847 0.031200 

-3.000000 583.000000 0.097170 0.177128 
-2.900000 583.000000 0.099114 0.180353 
-2.800000 583.000000 0.100699 0.182973 
-2.700000 583.000000 0.101800 0.184788 
-2.600000 583.000000 0.102304 0.185619 
-2.500000 583.000000 0.102132 0.185335 
-2.400000 583.000000 0.101240 0.183866 
-2.300000 583.000000 0.099632 0.181210 
-2.200000 583.000000 0.097359 0.177442 
-2.100000 583.000000 0.094507 0.172694 
-2.000000 583.000000 0.091195 0.167146 
-1.900000 583.000000 0.087551 0.161006 
-1.800000 583.000000 0.083708 0.154485 
-1.700000 583.000000 0.079787 0.147783 
-1.600000 583.000000 0.075891 0.141075 
-1.500000 583.000000 0.072100 0.134503 
-1.400000 583.000000 0.068474 0.128172 
-1.300000 583.000000 0.065051 0.122155 
-1.200000 583.000000 0.061850 0.116495 
-1.100000 583.000000 0.058878 0.111208 
-1.000000 583.000000 0.056131 0.106296 
-0.900000 583.000000 0.053598 0.101743 
-0.800000 583.000000 0.051264 0.097528 
-0.700000 583.000000 0.049111 0.093624 
-0.600000 583.000000 0.047121 0.090000 
-0.500000 583.000000 0.045276 0.086629 
-0.400000 583.000000 0.043559 0.083482 
-0.300000 583.000000 0.041955 0.080532 
-0.200000 583.000000 0.040451 0.077757 
-0.100000 583.000000 0.039034 0.075135 
0.000000 583.000000 0.037693 0.072648 
0.100000 583.000000 0.036420 0.070281 
0.200000 583.000000 0.035207 0.068019 
0.300000 583.000000 0.034047 0.065852 
0.400000 583.000000 0.032935 0.063769 
