-3,573,0.179224
-2.9,573,0.179595
-2.8,573,0.180036
-2.7,573,0.18028
-2.6,573,0.180105
-2.5,573,0.179341
-2.4,573,0.177872
-2.3,573,0.175639
-2.2,573,0.17264
-2.1,573,0.16892
-2,573,0.164559
-1.9,573,0.159667
-1.8,573,0.154364
-1.7,573,0.148775
-1.6,573,0.143019
-1.5,573,0.137205
-1.4,573,0.131424
-1.3,573,0.125753
-1.2,573,0.120249
-1.1,573,0.114956
-1,573,0.109902
-0.9,573,0.105104
-0.8,573,0.100567
-0.7,573,0.09629
-0.6,573,0.092267
-0.5,573,0.088486
-0.4,573,0.084934
-0.3,573,0.081596
-0.2,573,0.078455
-0.1,573,0.075496
0,573,0.072704
0.1,573,0.070063
0.2,573,0.06756
0.3,573,0.065183
0.4,573,0.06292
0.5,573,0.060761
0.6,573,0.058697
0.7,573,0.05672
0.8,573,0.054821
0.9,573,0.052997
1,573,0.051239
1.1,573,0.049545
1.2,573,0.04791
1.3,573,0.046329
1.4,573,0.044801
1.5,573,0.043321
1.6,573,0.041888
1.7,573,0.0405
1.8,573,0.039154
1.9,573,0.037849
2,573,0.036584
,,
-3,583,0.177128
-2.9,583,0.177735
-2.8,583,0.178861
-2.7,583,0.180228
-2.6,583,0.181574
-2.5,583,0.182663
-2.4,583,0.183288
-2.3,583,0.183284
-2.2,583,0.182533
-2.1,583,0.180971
-2,583,0.178585
-1.9,583,0.175414
-1.8,583,0.171531
-1.7,583,0.167041
-1.6,583,0.162066
-1.5,583,0.156734
-1.4,583,0.151169
-1.3,583,0.145486
-1.2,583,0.139786
-1.1,583,0.134152
-1,583,0.12865
-0.9,583,0.12333
-0.8,583,0.118226
-0.7,583,0.113359
-0.6,583,0.108741
-0.5,583,0.104374
-0.4,583,0.100252
-0.3,583,0.096368
-0.2,583,0.092708
-0.1,583,0.089259
0,583,0.086005
0.1,583,0.082931
0.2,583,0.080023
0.3,583,0.077264
0.4,583,0.074643
0.5,583,0.072146
0.6,583,0.069762
0.7,583,0.067481
0.8,583,0.065294
0.9,583,0.063193
1,583,0.06117
1.1,583,0.05922
1.2,583,0.057337
1.3,583,0.055516
1.4,583,0.053754
1.5,583,0.052046
1.6,583,0.05039
1.7,583,0.048783
1.8,583,0.047223
1.9,583,0.045708
2,583,0.044236
,,
-3,593,0.170832
-2.9,593,0.171529
-2.8,593,0.172985
-2.7,593,0.174975
-2.6,593,0.177283
-2.5,593,0.179691
-2.4,593,0.181984
-2.3,593,0.183955
-2.2,593,0.185419
-2.1,593,0.186216
-2,593,0.18623
-1.9,593,0.185391
-1.8,593,0.183678
-1.7,593,0.181118
-1.6,593,0.177779
-1.5,593,0.173761
-1.4,593,0.169183
-1.3,593,0.164176
-1.2,593,0.158868
-1.1,593,0.15338
-1,593,0.147821
-0.9,593,0.142281
-0.8,593,0.136834
-0.7,593,0.131537
-0.6,593,0.126431
-0.5,593,0.121542
-0.4,593,0.116885
-0.3,593,0.112467
-0.2,593,0.108285
-0.1,593,0.104332
0,593,0.100599
0.1,593,0.097072
0.2,593,0.093735
0.3,593,0.090576
0.4,593,0.087578
0.5,593,0.084728
0.6,593,0.082011
0.7,593,0.079417
0.8,593,0.076933
0.9,593,0.074549
1,593,0.072257
1.1,593,0.070048
1.2,593,0.067915
1.3,593,0.065852
1.4,593,0.063855
1.5,593,0.061917
1.6,593,0.060037
1.7,593,0.058209
1.8,593,0.056432
1.9,593,0.054703
2,593,0.053019
,,
-3,603,0.162201
-2.9,603,0.162888
-2.8,603,0.164388
-2.7,603,0.166546
-2.6,603,0.169215
-2.5,603,0.17224
-2.4,603,0.175459
-2.3,603,0.1787
-2.2,603,0.181781
-2.1,603,0.184517
-2,603,0.186735
-1.9,603,0.18828
-1.8,603,0.189031
-1.7,603,0.188908
-1.6,603,0.187879
-1.5,603,0.185957
-1.4,603,0.1832
-1.3,603,0.179701
-1.2,603,0.175573
-1.1,603,0.170947
-1,603,0.165954
-0.9,603,0.160719
-0.8,603,0.155357
-0.7,603,0.149966
-0.6,603,0.144628
-0.5,603,0.139406
-0.4,603,0.134347
-0.3,603,0.129483
-0.2,603,0.124834
-0.1,603,0.12041
0,603,0.11621
0.1,603,0.112231
0.2,603,0.108464
0.3,603,0.104896
0.4,603,0.101514
0.5,603,0.098304
0.6,603,0.095251
0.7,603,0.092341
0.8,603,0.089561
0.9,603,0.086898
1,603,0.084341
1.1,603,0.08188
1.2,603,0.079506
1.3,603,0.077212
1.4,603,0.07499
1.5,603,0.072834
1.6,603,0.070739
1.7,603,0.068701
1.8,603,0.066717
1.9,603,0.064782
2,603,0.062895
,,
-3,613,0.152247
-2.9,613,0.15288
-2.8,613,0.154282
-2.7,613,0.156344
-2.6,613,0.158971
-2.5,613,0.162071
-2.4,613,0.165548
-2.3,613,0.169292
-2.2,613,0.173178
-2.1,613,0.177061
-2,613,0.180782
-1.9,613,0.184172
-1.8,613,0.187063
-1.7,613,0.189302
-1.6,613,0.190758
-1.5,613,0.191341
-1.4,613,0.191004
-1.3,613,0.189743
-1.2,613,0.187605
-1.1,613,0.184668
-1,613,0.181041
-0.9,613,0.176851
-0.8,613,0.172229
-0.7,613,0.167305
-0.6,613,0.162198
