-3,573,0.028706
-2.9,573,0.030358
-2.8,573,0.032801
-2.7,573,0.036156
-2.6,573,0.040556
-2.5,573,0.046132
-2.4,573,0.053007
-2.3,573,0.06128
-2.2,573,0.07101
-2.1,573,0.082191
-2,573,0.094727
-1.9,573,0.108406
-1.8,573,0.122874
-1.7,573,0.13762
-1.6,573,0.151974
-1.5,573,0.165122
-1.4,573,0.176143
-1.3,573,0.184065
-1.2,573,0.187943
-1.1,573,0.186937
-1,573,0.180401
-0.9,573,0.167947
-0.8,573,0.149499
-0.7,573,0.125316
-0.6,573,0.095986
-0.5,573,0.062393
-0.4,573,0.025662
-0.3,573,-0.012923
-0.2,573,-0.052003
-0.1,573,-0.090236
0,573,-0.126383
0.1,573,-0.159386
0.2,573,-0.188415
0.3,573,-0.212904
0.4,573,-0.232559
0.5,573,-0.247343
0.6,573,-0.257445
0.7,573,-0.263235
0.8,573,-0.265219
0.9,573,-0.263982
1,573,-0.260144
1.1,573,-0.25432
1.2,573,-0.247085
1.3,573,-0.238952
1.4,573,-0.230362
1.5,573,-0.221672
1.6,573,-0.213164
1.7,573,-0.205045
1.8,573,-0.197458
1.9,573,-0.19049
2,573,-0.184187
,,
-3,583,0.029634
-2.9,583,0.029539
-2.8,583,0.030038
-2.7,583,0.031222
-2.6,583,0.033194
-2.5,583,0.036068
-2.4,583,0.039962
-2.3,583,0.045001
-2.2,583,0.051299
-2.1,583,0.058956
-2,583,0.068038
-1.9,583,0.078559
-1.8,583,0.090457
-1.7,583,0.103565
-1.6,583,0.117593
-1.5,583,0.132104
-1.4,583,0.146507
-1.3,583,0.160064
-1.2,583,0.171914
-1.1,583,0.181126
-1,583,0.186756
-0.9,583,0.187933
-0.8,583,0.183937
-0.7,583,0.174274
-0.6,583,0.15874
-0.5,583,0.137451
-0.4,583,0.110856
-0.3,583,0.079712
-0.2,583,0.045042
-0.1,583,0.008062
0,583,-0.029902
0.1,583,-0.067507
0.2,583,-0.103479
0.3,583,-0.136698
0.4,583,-0.166259
0.5,583,-0.191513
0.6,583,-0.212082
0.7,583,-0.227855
